id;titulo;autor;ano;genero;ADVCL;ADVMOD;AMOD;APPOS;AUX;CASE;CC;CCOMP;COMP;CONJ;COORD;COP;CSUBJ;CSUBJPASS;DEP;DET;DISCOURSE;DOBJ;IOBJ;MARK;MOD;MWE;NSUBJ;NSUBJPASS;NUM;NUMBER;PARATAXIS;POBJ;POSS;PRECONJ;PREDET;PUNCT;ROOT;S;SJ;XCOMP
41;A ILHA AZUL;RAUL BRANDÃO;1927;Novel;29;376;767;2;10;1144;502;53;1;20;0;211;2;0;1424;1500;0;505;53;76;666;211;479;1;23;4;183;487;28;1;1;414;381;0;0;38
42;MULHERES;RAUL BRANDÃO;1923;Chronicle;25;321;570;1;12;1054;499;48;2;25;0;168;1;0;1809;1412;0;501;51;78;619;163;482;1;60;1;192;416;28;4;4;483;444;0;0;27
43;ERA UMA VEZ UMA PRAIA ATLÂNTICA;SOPHIA DE MELLO BREYNER;1996;Chronicle;55;517;477;8;47;951;508;97;1;40;0;273;3;0;1289;1266;0;618;84;191;507;170;479;0;30;0;157;465;130;2;3;542;507;0;0;48
44;NAUFRÁGIO DE SEPÚLVEDA;BERNARDO GOMES DE BRITO;1735;Novel;56;532;393;7;41;970;468;126;4;85;0;226;1;0;2682;998;0;638;120;173;572;265;531;1;78;0;83;320;110;5;4;159;140;0;0;55
45;HISTÓRIA DA LITERATURA;Maria Leonor Carvalhão Buescu;1991;Essay;13;287;749;2;6;974;496;49;1;19;0;127;2;0;2726;1176;0;328;23;59;564;524;357;2;14;11;204;483;58;4;1;252;202;0;0;28
46;O COMPADRE RABINO;Brito Camacho;1921;Tale;54;510;521;6;30;1005;364;129;3;30;0;236;2;2;1631;1384;0;639;92;148;690;225;505;3;17;0;141;396;109;0;0;364;315;0;0;64
47;CARTA A EL-REI D. MANUEL SOBRE O ACHAMENTO DO BRASIL;PÊRO VAZ DE CAMINHA;1817;Letter;54;556;348;14;14;920;471;86;2;36;0;173;2;0;2654;882;0;553;62;179;459;254;460;1;39;68;137;308;52;3;2;398;337;0;0;44
48;AR DO MAR;JOAQUIM CANAS CARDIM;1982;Novel;57;484;653;2;31;1255;367;105;0;22;0;253;0;0;1673;1372;0;582;50;116;743;196;472;0;64;6;75;516;132;7;2;237;235;0;0;48
49;A PELE DO JUDEU;Mário de Carvalho;1981;Tale;28;407;723;0;26;1256;353;77;3;31;0;139;0;0;2152;1210;0;499;59;88;698;134;438;3;15;0;152;577;28;3;3;288;281;0;0;31
50;A INAUDITA GUERRA DA AVENIDA GAGO COUTINHO;Mário de Carvalho;1983;Tale;25;376;576;0;43;1277;379;64;0;21;0;161;0;0;1914;1352;0;530;72;97;730;347;390;7;18;7;111;558;47;4;0;293;268;0;0;47
51;NOME DE FLOR;Armando Silva Carvalho;2001;Tale;42;400;496;21;14;1300;386;99;0;18;0;191;0;0;1296;1402;0;517;89;135;630;117;478;0;25;0;117;542;106;0;0;506;499;0;0;64
52;O CAPITÃO PASSANHA;MÁRIO DE CARVALHO;1981;Tale;32;404;669;2;22;1273;367;97;1;19;0;177;0;0;1560;1427;0;558;84;116;688;141;504;2;34;1;108;571;50;2;1;341;338;0;0;50
53;O CELACANTO;Mário de Carvalho;2011;Tale;49;466;468;5;32;998;431;113;0;37;0;242;0;0;2066;1028;0;550;101;153;500;153;466;5;12;0;217;370;20;0;2;582;426;0;0;52
54;QUE TODOS FICASSEM BEM...;Mário de Carvalho;1981;Tale;33;423;624;6;29;1147;302;91;2;14;0;191;0;0;1719;1350;0;596;94;124;648;160;492;5;24;0;95;461;59;5;2;419;408;0;0;57
55;Poesias;António Feliciano de Castilho;18??;Poetry;28;354;586;10;10;896;442;67;0;37;0;156;0;0;1666;1142;0;573;96;96;596;168;519;0;24;0;235;354;140;8;1;652;431;0;0;41
56;MAR IMPLACÁVEL;JERÓNIMO OSÓRIO DE CASTRO;1957;Novel;47;480;709;3;22;1122;389;81;1;26;0;183;4;1;2244;1283;0;506;48;100;640;184;398;2;41;5;113;517;75;9;1;235;230;0;0;39
57;O SENHOR DOS NAVEGANTES;FERREIRA DE CASTRO;1954;Tale;51;618;401;5;41;887;367;125;2;41;0;300;7;2;1557;1216;0;664;84;182;459;163;579;2;12;0;147;332;118;2;3;555;493;0;0;77
58;SE TU VIESSES VER-ME HOJE À TARDINHA;Mário Cláudio;2014;Tale;26;327;668;0;13;1401;366;65;0;26;0;52;0;0;1021;1662;0;759;79;118;746;249;497;0;26;0;196;772;26;0;0;249;209;0;0;13
59;A CHOCA;Trindade Coelho;1891;Tale;65;523;387;3;26;805;365;89;3;26;0;206;1;0;2317;1086;0;535;74;159;524;172;498;1;17;1;207;298;55;1;1;727;376;0;0;43
60;ABYSSUM ABYSSUM;Trindade Coelho;1891;Tale;69;613;540;0;33;930;319;85;4;36;0;221;4;0;1643;1186;0;573;56;156;575;149;535;0;29;0;194;390;36;0;2;734;406;0;0;36
61;ANTÓNIO FRALDÃO;Trindade Coelho;1891;Tale;77;565;269;6;27;688;400;104;9;22;0;197;2;0;2209;1007;2;625;105;176;456;179;499;0;6;0;253;256;39;0;0;943;406;0;0;35
62;IDÍLIO RÚSTICO;Trindade Coelho;1891;Tale;70;454;482;2;53;965;392;64;6;26;0;237;0;0;1911;1234;0;520;77;145;607;177;548;2;23;0;198;381;40;0;2;622;330;0;0;47
63;LUZIA;Trindade Coelho;1891;Tale;65;539;291;4;8;662;321;77;0;27;0;214;0;0;3057;987;0;543;103;126;440;302;406;0;31;0;226;241;42;0;0;662;279;0;0;27
64;MANHÃ BENDITA;Trindade Coelho;1891;Tale;121;469;228;9;18;635;304;94;4;36;0;192;0;0;2360;934;0;483;58;192;367;241;532;0;9;0;179;232;63;0;0;1158;487;0;0;63
65;MANUEL MAÇORES;Trindade Coelho;1891;Tale;44;546;264;9;25;678;329;76;2;53;0;201;0;0;2148;1032;0;555;118;157;467;171;514;2;9;0;171;229;37;0;2;923;544;0;0;35
66;MARICAS;Trindade Coelho;1891;Tale;60;610;372;5;30;824;362;65;0;25;0;203;0;0;2546;948;0;496;84;149;457;84;496;0;30;0;169;283;124;0;5;824;342;0;0;35
67;MÃE!;Trindade Coelho;1891;Tale;48;399;787;4;7;1204;414;78;0;26;0;133;0;0;1920;1278;0;495;48;100;746;126;465;0;22;0;111;535;55;0;0;332;295;0;0;52
68;Os Meus Amores;Trindade Coelho;1891;Tale;62;501;400;3;26;822;355;88;4;24;0;204;1;0;2286;1114;0;538;79;154;537;185;495;1;20;1;203;304;54;1;1;696;378;0;0;45
69;PARA A ESCOLA;Trindade Coelho;1891;Tale;64;695;337;0;27;661;355;121;3;30;0;334;3;0;1941;955;0;585;42;185;540;109;516;0;3;0;255;185;106;0;0;867;485;3;0;82
70;PRELÚDIOS DE FESTA;Trindade Coelho;1891;Tale;88;565;298;4;25;766;346;115;2;23;0;276;4;0;1771;1132;0;569;68;246;475;264;590;2;23;5;231;258;39;0;0;893;422;0;0;63
71;SULTÃO;Trindade Coelho;1891;Tale;45;457;429;2;19;805;311;86;2;27;0;153;2;0;2512;1100;0;563;100;136;563;136;429;2;16;2;213;302;32;0;0;692;399;0;0;31
72;TERRA MATER;Trindade Coelho;1891;Tale;45;474;345;0;29;916;426;93;0;20;0;179;0;0;2642;1220;0;458;50;150;562;111;501;0;14;0;191;297;54;11;2;494;324;0;0;39
73;TIPOS DA TERRA;Trindade Coelho;1891;Tale;45;415;387;4;25;837;349;73;5;9;0;229;1;0;2115;1128;0;571;75;114;595;287;490;1;54;0;237;278;32;0;3;742;416;0;0;40
74;VAE VICTIS!;Trindade Coelho;1891;Tale;64;427;438;15;23;982;329;87;8;42;0;121;0;0;2739;1292;0;540;140;125;638;76;476;0;4;0;151;340;64;0;0;355;219;0;0;57
75;VAE VICTORIBUS!;Trindade Coelho;1891;Tale;59;527;573;4;8;881;223;63;0;17;0;202;0;0;2121;1307;0;485;118;194;468;228;472;0;13;0;89;396;59;0;0;506;422;0;0;67
76;ÚLTIMA DÁDIVA;Trindade Coelho;1891;Tale;59;469;458;0;42;897;330;145;6;20;0;193;0;0;2123;1218;0;559;89;179;567;193;531;0;0;0;165;352;73;3;0;550;349;0;0;61
77;VILEGIATURA;Hélia Correia;2001;Tale;51;478;424;3;31;1052;307;102;3;17;0;205;0;3;1655;1234;0;688;91;134;560;108;481;0;6;0;111;475;68;0;3;600;518;0;0;60
78;UM AMOR DE CÃO;Maria Velho da Costa;2012;Tale;0;365;599;7;80;1248;504;146;0;36;0;204;0;0;898;1343;0;657;66;80;781;117;489;0;15;0;131;438;7;0;0;547;562;0;0;73
79;Poesia Angolana;Tomaz Vieira da Cruz;1961;Poem;37;366;552;3;14;816;316;67;0;18;0;219;5;0;1974;1009;0;417;37;117;589;265;469;0;11;2;131;306;168;3;2;1022;362;0;0;40
80;HISTÓRIA DE DOIS PATIFES;Fialho D' Almeida;1881;Tale;25;265;930;0;13;1314;474;58;2;20;0;153;0;0;1296;1491;0;535;38;88;768;115;429;0;47;0;173;692;92;2;0;323;299;0;0;52
81;OS GATOS;FIALHO DE ALMEIDA;1889-1894;Chronicle;12;267;743;3;7;1343;413;70;0;23;0;98;0;0;2345;1303;0;416;47;60;810;147;368;2;23;3;185;685;45;3;2;185;173;0;0;17
82;A RUIVA;Fialho D' Almeida;1881;Tale;35;337;686;1;17;1017;425;65;2;23;0;202;2;0;1467;1229;0;608;60;113;691;111;475;1;21;1;219;442;100;1;0;579;499;0;0;50
83;SEMPRE AMIGOS;Fialho d'Almeida;1881;Tale;20;356;674;0;34;1108;380;60;2;24;0;205;0;0;1263;1400;0;607;66;80;713;125;503;2;34;1;141;500;72;0;0;571;491;0;0;58
84;O NAVIO DOS MORTOS;JOAQUIM PAÇO D'ARCOS;1952;Short story;29;320;718;6;32;1394;378;72;1;24;0;156;1;0;1570;1512;0;486;68;87;712;214;456;3;26;1;149;636;93;1;1;272;261;0;0;40
85;MARÉS DE MAR;LUÍSA DACOSTA;1980;Novel;40;397;484;4;35;1009;400;81;0;25;0;208;2;1;1590;1333;0;557;67;140;524;149;539;5;22;1;139;439;79;1;1;578;536;0;0;48
86;O MOLEIRO DE SULA;Júlio Dantas;1954;Tale;20;246;433;3;16;1205;395;68;4;16;0;124;0;3;1938;1411;0;512;73;82;622;257;444;3;30;4;232;609;68;3;1;407;353;0;0;35
87;OS SERENINS DE QUELUZ;Júlio Dantas;1915;Short story;7;161;565;0;0;1124;419;21;0;0;0;112;0;0;3224;1263;0;251;21;63;670;356;307;0;14;7;195;558;28;0;0;209;188;0;0;14
88;A Morgadinha dos Canaviais;Júlio Dinis;1868;Novel;45;530;476;5;22;982;399;112;2;25;0;222;3;0;1858;1216;0;651;99;143;563;164;552;1;13;0;198;408;73;2;1;497;327;0;0;62
89;As Pupilas do Senhor Reitor;Júlio Dinis;1866;Novel;47;582;409;6;22;881;365;119;2;32;0;223;4;0;2086;1075;0;639;99;164;508;194;536;2;15;0;188;336;70;1;2;570;362;0;0;63
90;O CANTO DA SEREIA;JÚLIO DINIS;1870;Tale;28;478;630;4;31;1036;318;97;1;33;0;213;1;0;1570;1433;0;646;87;127;563;117;559;5;5;0;110;472;69;2;3;457;406;0;0;62
91;Os Fidalgos da Casa Mourisca;Júlio Dinis;1871;Novel;54;575;453;8;23;959;360;130;3;32;0;230;4;0;1748;1172;0;684;101;174;536;169;572;1;9;0;158;394;111;1;1;527;362;0;0;66
92;Uma Família Inglesa;Júlio Dinis;1867;Novel;41;540;477;6;24;952;383;114;3;25;0;214;3;0;1979;1123;0;641;91;135;557;187;531;1;14;1;205;390;66;2;2;522;340;0;0;63
93;A GALINHA;Vergílio Ferreira;1976;Tale;83;598;280;0;24;870;349;93;3;41;0;304;0;0;1340;1123;0;705;69;200;473;128;708;0;38;0;79;304;263;0;0;642;615;0;0;48
94;UMA ESPLANADA SOBRE O MAR;Vergílio Ferreira;1976;Tale;54;617;333;4;27;738;354;164;0;42;0;325;8;0;1162;1208;0;741;50;260;401;118;554;8;19;6;71;287;19;8;11;854;724;0;0;99
95;A CAÇADA DO MALHADEIRO;Conde de Ficalho;1903;Short story;64;530;481;3;39;1011;484;45;6;42;0;194;0;0;1668;1384;0;606;106;100;563;103;548;3;45;0;221;466;67;0;0;457;351;0;0;48
96;A MALUCA D´A-DOS-CORVOS (1);Conde de Ficalho;1903;Short story;41;434;632;5;17;1117;397;44;2;17;0;165;0;0;1728;1502;0;523;90;104;647;145;482;0;31;0;165;523;48;2;0;395;344;0;0;41
97;DEZ QUILOS DE TRUTAS;TOMAZ DE FIGUEIREDO;1970;Tale;23;450;386;3;18;1035;391;75;0;38;0;110;2;0;2342;1092;0;433;75;110;500;202;319;0;37;0;125;383;50;2;0;620;545;0;0;42
98;PERFORMANCE;José Martins Garcia;século 20;Tale;37;424;449;3;27;967;334;102;2;20;0;214;2;1;1193;1435;0;633;77;138;566;152;499;1;28;1;197;452;76;3;0;744;529;0;0;52
99;Camões;Almeida Garrett;1825;Poetry;25;382;811;6;6;872;386;39;1;17;0;151;0;0;2182;1122;0;507;76;82;685;172;519;3;4;0;202;349;74;2;1;448;350;0;0;31
100;Folhas Caídas;Almeida Garrett;1853;Poetry;53;529;546;5;11;764;343;59;1;32;0;249;2;0;2106;1014;0;536;58;131;572;161;563;2;5;3;170;251;108;2;1;522;445;0;0;56
101;Frei Luís de Sousa;Almeida Garrett;1844;Drama;26;544;381;9;18;711;402;91;2;29;0;200;3;0;2828;816;0;495;59;117;475;265;508;0;13;3;206;256;150;2;0;427;336;0;0;54
102;Viagens na Minha Terra;Almeida Garrett;1846;Short story;33;519;593;6;16;935;508;81;1;34;0;228;2;1;1999;1147;0;541;70;116;543;167;504;1;18;4;229;385;114;5;2;507;301;0;0;44
103;A CAMA DE PREGOS;Luísa Costa Gomes;2001;Tale;41;507;451;5;34;1098;377;117;2;15;0;248;2;0;1351;1275;0;689;94;115;594;153;516;3;37;0;177;435;37;2;5;560;489;0;2;68
104;AGOSTO AZUL;M. TEIXEIRA-GOMES;1904;Chronicle;18;357;739;1;15;1229;373;69;3;34;0;160;0;0;1900;1367;0;546;86;80;641;103;480;1;27;1;122;620;53;3;1;307;293;0;0;49
105;UMA COPEJADA DE ATUM;Manuel Teixeira Gomes;1941;Tale;24;410;653;3;12;1132;416;83;3;33;0;163;0;0;2210;1286;0;532;83;89;644;86;460;3;30;6;116;546;53;0;0;255;232;0;0;50
106;D. JOAQUINA EUSTÁQUIA SIMÕES D'ALJEZUR;Manuel Teixeira Gomes;1941;Short story;34;439;681;0;6;1110;365;57;0;28;0;151;3;0;2132;1279;0;496;110;89;624;201;470;6;13;2;115;528;130;3;3;313;267;0;0;44
107;DA ESCADA;Luísa Costa Gomes;2001;Tale;60;612;297;11;52;808;463;231;4;37;0;302;0;0;1259;1110;0;737;60;308;457;119;604;2;15;0;220;297;58;11;2;653;539;0;0;121
108;IMPÉRIO DO AMOR;Luísa Costa Gomes;2001;Tale;50;419;613;14;24;1198;457;111;0;42;0;217;0;0;1460;1240;0;632;99;125;724;166;504;1;26;0;195;516;65;2;1;376;315;0;0;44
109;O SÍTIO DA MULHER MORTA;Manuel Teixeira Gomes;1941;Short story;50;490;502;5;22;986;404;135;0;48;0;228;2;0;2034;1203;0;653;117;165;596;137;550;2;32;1;121;374;107;2;2;352;273;0;0;58
110;UMA CENA GREGA;Manuel Teixeira Gomes;1941;Short story;37;477;510;9;28;1081;421;115;0;44;0;173;0;0;2209;1245;0;600;96;112;651;188;458;4;27;3;123;476;64;1;4;263;226;0;0;46
111;A ABÓBADA;Alexandre Herculano;1877;Tale;42;375;584;5;28;1052;403;86;1;29;0;203;1;0;2115;1218;0;593;55;113;619;371;509;3;27;9;159;471;98;3;1;324;214;0;0;52
112;A DAMA PÉ-DE-CABRA;Alexandre Herculano;1877;Tale;37;370;494;3;17;844;437;103;0;30;3;233;0;0;2252;954;0;597;77;163;474;243;490;0;17;0;170;360;157;3;3;514;380;0;0;57
113;A Harpa do Crente;Alexandre Herculano;1838;Poetry;43;311;560;7;3;928;368;40;0;16;0;139;1;0;2501;1222;0;461;64;104;650;166;479;2;6;0;172;370;87;0;0;373;351;0;0;33
114;A MORTE DO LIDADOR;Alexandre Herculano;1877;Tale;40;350;690;4;4;1261;541;59;0;36;0;179;0;0;1768;1434;0;499;65;82;699;272;539;2;59;8;210;615;93;4;2;202;91;0;0;36
115;Eurico o Presbítero;Alexandre Herculano;1844;Novel;34;325;615;4;17;1174;362;66;1;22;0;167;2;0;1865;1501;0;526;69;97;587;150;526;1;21;3;129;614;97;3;1;354;288;0;0;59
116;DE JERSEY A GRANVILLE (1831);ALEXANDRE HERCULANO;1851;Novel;29;365;668;0;18;1093;370;69;2;24;0;192;0;0;2059;1399;0;507;61;94;597;126;503;2;57;0;134;543;103;3;2;319;298;0;0;41
117;O Bobo;Alexandre Herculano;1843;Novel;35;374;598;5;21;1169;410;77;1;27;0;184;2;0;1640;1424;0;577;81;102;610;210;545;2;27;1;150;577;109;5;2;379;288;0;0;61
118;TRÊS MESES EM CALECUT;ALEXANDRE HERCULANO;1851;Chronicle;36;370;527;9;22;1146;409;97;0;45;0;183;3;0;1828;1264;0;638;75;130;638;372;567;2;34;4;156;494;112;2;0;278;222;0;0;77
119;URIEL;Maria Teresa Horta;2014;Tale;15;274;731;5;10;1244;468;129;0;20;0;65;0;0;1896;1308;0;741;40;80;891;114;274;0;0;0;234;587;398;0;0;164;95;0;0;35
120;LEÃO VELHO;Lídia Jorge;2004;Tale;59;545;500;4;61;1019;349;113;1;20;0;250;3;0;1879;1264;0;561;51;178;566;220;513;3;56;1;154;423;60;1;2;406;330;0;0;64
121;MARIDO;Lídia Jorge;1997;Tale;63;473;358;9;23;1149;417;93;2;20;0;186;2;0;1405;1441;0;609;52;190;714;159;437;0;34;2;211;401;45;2;0;473;473;0;0;75
122;A CAMPONESA, A ÉGUA E O CAVALEIRO;Nuno Júdice;2003;Tale;36;472;472;15;15;928;226;97;0;41;0;92;0;0;3178;1097;0;697;51;92;677;108;446;10;0;0;31;364;190;5;0;195;185;0;0;67
123;O AZAR DOS TÁVORAS;Nuno Júdice;2003;Tale;40;480;457;10;40;926;292;141;0;34;0;131;0;0;2558;1182;0;708;64;148;655;138;507;10;10;0;54;369;131;7;0;282;258;0;0;67
124;NAUFRÁGIO DA MEDUSA;Versão de MAXIMIANO LEMOS JÚNIOR;189?;Novel;26;402;527;5;44;1190;390;100;0;39;0;214;2;1;1188;1500;0;744;90;78;587;253;572;5;119;18;132;545;69;0;1;352;337;0;0;101
